,0
0,1586.5706455046545
1,1589.4596503617772
2,1595.9663884554368
3,1589.3441848492562
4,1601.6191922376554
5,1610.2532552725381
6,1611.1965152036967
7,1610.3823661498193
8,1626.5406217484315
9,1636.0597695237225
10,1643.865805463211
11,1652.1832564788056
12,1661.473374415506
13,1665.5754475340698
14,1669.4908130928407
15,1601.4872721435192
16,1631.566455262515
17,1645.2371729664349
18,1612.5113649341588
19,1632.7921832466852
20,1638.449061061045
21,1650.7204625023776
22,1654.1803729283736
23,1664.9840611699813
24,1666.3930619430728
25,1581.323960904187
26,1601.2631791771823
27,1615.2901898144737
28,1625.2986896436971
29,1632.6552324320157
30,1639.9117959359392
31,1649.6261607121114
32,1642.3188285987512
33,1646.3791556520623
34,1659.6982185166223
35,1663.0676518041485
36,1659.309050805535
37,1672.4274028777588
38,1675.305758880695
39,1672.8536463508692
40,1686.173680361733
41,1697.4038510863718
42,1699.4275573190075
43,1706.1031010071745
44,1708.2027950400952
45,1709.1961741717198
46,1623.4850035472773
47,1642.9985972219392
48,1658.0197864292034
49,1657.9849549801088
50,1668.8203123966232
51,1674.5137666631822
52,1681.4566077197396
53,1625.4444879987277
54,1553.2070610953183
55,1601.8079099976567
56,1611.390534217317
57,1619.0113196137438
58,1626.231419892172
59,1635.2263480936365
60,1615.7523265966834
61,1620.8166521306462
62,1634.568884482324
63,1642.6977556048892
64,1649.84267781933
65,1657.6452760691443
66,1666.4723903383904
67,1593.515665981453
68,1595.0505358516857
69,1600.7533271362383
70,1609.9085769619946
71,1620.5339276888135
72,1618.0067187106238
73,1607.6586553012332
74,1559.184006574098
75,1589.9713608425864
76,1599.555181947459
77,1605.1527554333666
78,1596.7227103050932
79,1572.6043236179587
80,1524.2634721697927
81,1553.3088889655755
82,1492.4057148072557
83,1528.7872274797105
84,1536.2961130390952
85,1531.7825657568806
86,1541.5073587028307
87,1549.4267699579552
88,1559.2203794256973
89,1564.1170998948787
90,1576.7255730019338
91,1587.9737078554556
92,1588.4385331535152
93,1581.61737269938
94,1546.855132764183
95,1563.2162795311306
96,1563.5740792667852
97,1569.8322710672278
98,1574.9150550197965
99,1566.3963629455925
100,1579.4492388728995
101,1538.0924600957892
102,1558.4014200886584
103,1559.5832353027847
104,1574.9239055611047
105,1580.832798657197
106,1576.4266282574504
107,1537.4257865311267
108,1539.4306878616721
109,1521.5986310968485
110,1487.2957200179808
111,1529.603764727401
112,1543.1650655695444
113,1537.2361236078616
114,1451.1216084337793
115,1482.3878936200404
116,1492.2257579306154
117,1499.3874846014887
118,1498.5287854855
119,1504.9148723855078
120,1501.5882418457109
121,1499.9444724687476
122,1462.8482151600792
123,1470.3688422507435
124,1471.2781198471785
125,1468.0589368288647
126,1473.2983876831415
127,1476.6802799022303
128,1411.3251280309632
129,1410.785018490073
130,1412.0005500074476
131,1409.0534926985079
132,1422.5523538590437
133,1426.4175308289105
134,1436.3437514078846
135,1429.521350309563
136,1407.6028560114403
137,1421.373219131768
138,1427.9951451928355
139,1427.8324399606543
140,1435.1069320918
141,1429.622997863249
142,1420.554550524087
143,1413.7253129398969
144,1420.9782013406718
145,1419.8956634784718
146,1433.4579609367934
147,1386.3196569549896
148,1431.7567450161932
149,1417.109225869361
150,1416.3392186246347
151,1419.7077997284719
152,1429.551644559306
153,1440.4157446671704
154,1446.1353325439045
155,1443.3368768618634
156,1449.3601032665806
157,1446.8361148823362
158,1457.2278196999346
159,1455.3785243200805
160,1460.0695272471326
161,1466.6303111431637
162,1468.0235982169825
163,1456.9014440535466
164,1436.6519267321873
165,1444.775969784999
166,1456.680396543888
167,1455.750974276214
168,1466.1205541224408
169,1465.1856527713207
170,1454.472680753455
171,1440.503055387487
172,1447.2765647172018
173,1451.2837905402716
174,1457.1677569605722
175,1466.2665340103317
176,1458.419490629871
177,1451.3373290082204
178,1441.8798487865733
179,1442.0080160231805
180,1444.2241265351572
181,1457.899615895103
182,1461.2628997349334
183,1469.311742097717
184,1466.7340889868437
185,1459.0918456756822
186,1464.77228271613
187,1466.934838983249
188,1469.2657165561131
189,1481.3340537407614
190,1481.764962053007
191,1479.371851357476
192,1464.675029674545
193,1466.0414109810386
194,1476.306031014991
195,1473.424307145563
196,1475.9455193189774
197,1486.404743750001
198,1491.9294843714838
199,1479.235099630275
200,1480.0574054539766
201,1474.3152616381717
202,1488.6297421166673
203,1492.3541524189834
204,1483.1757486158108
205,1477.9291678681038
206,1484.1714241931525
207,1485.2811939261835
208,1479.3427517706918
209,1477.4042178513719
210,1486.6243629476387
211,1474.3807348571409
212,1466.845768505552
213,1467.8808343160586
214,1466.0654166517106
215,1469.5789424743762
216,1472.7415589550105
217,1450.1969253184895
218,1468.1175558858824
219,1474.454169092891
220,1479.4864212766709
221,1486.8180234339707
222,1496.3570082146723
223,1500.6378511692128
224,1504.8543331617982
225,1503.5259585086924
226,1506.4976151236272
227,1507.6371515799933
228,1510.8062469228482
229,1512.8180761855601
230,1511.859356339447
231,1523.2617457493157
